County,Population,Violent,Murder,Rape,Robbery,Aggrevated assault,Property,Burglary,Vehicle theft,Larceny theft
Alameda,"1,664,783",584.7,5.8,42.2,295.3,241.5,"4,008.4",391.4,616.7,"3,000.3"
Alpine,"1,149","1,131.4",0.0,174.1,0.0,957.4,"2,785.0","1,131.4",348.1,"1,305.5"
Amador,"37,820",290.9,2.6,21.2,23.8,243.3,"1,771.5",470.7,97.8,"1,203.1"
Butte,"221,521",462.3,3.2,81.3,75.4,302.5,"2,402.5",501.5,391.8,"1,509.1"
Calaveras,"45,085",321.6,2.2,75.4,20.0,224.0,"1,858.7",658.8,153.0,"1,046.9"
Colusa,"21,990",263.8,0.0,68.2,40.9,154.6,"1,578.0",495.7,254.7,827.6
Contra Costa,"1,150,621",359.6,4.7,27.8,132.0,195.1,"2,481.7",311.1,399.7,"1,770.9"
Del Norte,"27,127",401.8,7.4,47.9,95.8,250.7,"2,963.8",925.3,173.3,"1,865.3"
El Dorado,"190,018",170.0,2.6,31.0,28.9,107.4,"1,346.7",331.0,76.8,938.9
Fresno,"1,015,195",466.6,5.4,26.3,90.4,344.5,"2,284.8",462.4,343.1,"1,479.3"
Glenn,"28,695",317.1,7.0,41.8,55.8,212.6,"1,833.1",379.9,289.2,"1,164.0"
Humboldt,"133,996",467.2,4.5,49.3,111.2,302.2,"2,929.9",594.0,399.3,"1,936.6"
Imperial,"188,821",311.9,3.7,14.8,42.4,251.0,"1,840.9",407.3,249.4,"1,184.2"
Inyo,"18,572",506.1,5.4,96.9,48.5,355.4,"2,116.1",619.2,96.9,"1,400.0"
Kern,"908,405",612.8,9.2,50.1,136.3,417.2,"3,258.9",836.1,647.6,"1,775.2"
Kings,"152,995",494.8,2.6,46.4,57.5,388.2,"1,611.8",268.0,257.5,"1,086.3"
Lake,"64,268",539.9,7.8,66.9,96.5,368.8,"1,910.7",589.7,413.9,907.1
Lassen,"29,173",939.2,0.0,51.4,34.3,853.5,"1,436.3",497.0,144.0,795.3
Los Angeles,"10,184,378",553.9,5.0,40.9,182.7,325.3,"2,201.3",373.0,367.5,"1,460.8"
Madera,"158,216",524.6,1.9,43.0,59.4,420.3,"1,702.1",431.1,262.9,"1,008.1"
Marin,"262,240",196.8,0.4,16.8,55.3,124.3,"2,075.6",381.7,160.2,"1,533.7"
Mariposa,"18,066",437.3,0.0,44.3,11.1,381.9,"1,007.4",293.4,27.7,686.4
Mendocino,"88,388",380.1,3.4,50.9,57.7,268.1,"1,419.9",403.9,183.3,832.7
Merced,"280,735",541.4,4.3,29.2,72.0,436.0,"2,457.1",505.1,495.5,"1,456.5"
Modoc,"9,637",446.2,0.0,41.5,20.8,383.9,684.9,207.5,83.0,394.3
Mono,"13,517",495.7,0.0,133.2,7.4,355.1,"1,383.4",281.1,81.4,"1,020.9"
Monterey,"441,304",324.7,3.4,31.5,83.4,206.4,"1,752.8",345.3,373.7,"1,033.8"
Napa,"139,970",538.0,0.7,64.3,50.0,422.9,"1,544.6",282.2,135.0,"1,127.4"
Nevada,"97,820",243.3,3.1,16.4,17.4,206.5,"1,217.5",336.3,180.9,700.3
Orange,"3,192,987",212.9,1.8,28.0,69.2,113.9,"1,853.6",267.1,209.9,"1,376.6"
Placer,"395,978",150.8,1.8,23.7,33.1,92.2,"1,550.1",250.5,136.6,"1,162.9"
Plumas,"18,242",701.7,5.5,49.3,27.4,619.4,"1,721.3",635.9,126.1,959.3
Riverside,"2,422,146",310.1,4.9,20.5,88.7,196.0,"2,394.0",424.8,423.1,"1,546.1"
Sacramento,"1,541,301",438.9,5.1,26.4,132.0,275.4,"2,350.2",428.9,350.2,"1,571.1"
San Benito,"61,513",239.0,1.6,35.8,47.1,154.4,767.3,156.1,151.2,460.1
San Bernardino,"2,168,964",563.4,6.8,41.0,143.1,372.5,"2,186.1",460.1,418.7,"1,307.4"
San Diego,"3,340,312",341.6,2.6,33.1,86.5,219.3,"1,653.5",230.3,289.8,"1,133.4"
San Francisco,"891,021",683.7,4.5,37.0,356.1,286.1,"5,612.9",525.8,480.8,"4,606.3"
San Joaquin,"765,556",777.5,6.5,39.3,203.8,527.9,"2,796.5",492.6,402.1,"1,901.9"
San Luis Obispo,"278,355",226.3,1.8,34.1,27.7,162.7,"1,839.0",357.5,116.4,"1,365.2"
San Mateo,"774,231",237.3,1.3,41.6,71.3,123.1,"2,101.7",287.0,196.6,"1,618.1"
Santa Barbara,"450,839",339.1,3.8,46.8,65.4,223.1,"1,620.8",281.5,232.0,"1,107.3"
Santa Clara,"1,954,833",325.4,2.3,47.0,93.9,182.2,"2,435.3",349.2,413.5,"1,672.5"
Santa Cruz,"272,501",405.9,2.2,50.3,66.8,286.6,"2,570.6",381.3,303.9,"1,885.5"
Shasta,"177,891",350.2,3.4,35.4,43.3,268.1,"1,356.4",354.1,326.6,675.7
Sierra,"3,210",31.2,0.0,0.0,0.0,31.2,965.7,467.3,0.0,498.4
