RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,797667,802333,816000,833000,846633,849633,841300,824000,801000,784333,771633,761600,752933,749633,759667,776629,801899,821898,837936,845666,845667,845833,845833,848833,849333,864998,881998,885298,879966,889300,919333,951000,961333,969667,974666,988000,995666,998967,1007633
395057,11,"San Francisco, CA",Msa,CA,806317,823000,857667,899667,924667,938000,921333,879667,849667,841317,836317,816317,792963,797963,827555,866926,900259,907629,904629,885963,885667,889000,895667,878963,862296,872296,897667,914333,924667,948000,981333,997333,998667,998667,998667,995296,990629,986296,983300
395025,13,"Riverside, CA",Msa,CA,390833,393500,396833,402667,406633,409967,409933,406633,403299,399966,399633,398633,398333,398650,402983,408317,415000,419967,423300,423300,420000,416667,415000,414833,414833,418166,423000,426333,428000,434667,446333,461333,471666,480000,484999,490000,491633,493300,494933
395056,17,"San Diego, CA",Msa,CA,699666,716333,731333,748000,748000,749333,742249,725882,706182,689933,681633,676667,675667,680663,692329,712996,732666,745667,745997,745997,745997,745567,742233,742233,744553,754553,768187,769600,768567,778600,811933,833267,831600,817967,807667,802667,806332,823331,839965
395045,25,"Sacramento, CA",Msa,CA,461933,467009,475342,483375,490000,490000,486333,479667,472000,465333,458633,456300,458300,466333,481000,492650,504317,512950,521267,522933,517900,509597,503247,504947,511283,520967,526864,527164,525831,527967,537667,546040,556373,565040,576522,584788,592788,596267,591296
395059,34,"San Jose, CA",Msa,CA,1071000,1102000,1152000,1206000,1243333,1259898,1242981,1199611,1149713,1116229,1082600,1048600,1015000,1031333,1065333,1112000,1138667,1155333,1142667,1116333,1099333,1099000,1095333,1069000,1068666,1102666,1162629,1182963,1185629,1202333,1237667,1254998,1254665,1241328,1240997,1224163,1215500,1215167,1232000
394619,56,"Fresno, CA",Msa,CA,334754,332722,332722,335443,339232,342641,342676,340954,337527,335770,333876,330449,326005,324455,327021,334943,346620,357452,366028,366373,364685,359433,355291,352191,351795,354249,359415,361652,367504,374393,384728,390931,392653,391720,392173,390450,390166,387162,387967
394357,63,"Bakersfield, CA",Msa,CA,248882,251801,257222,263477,266973,268256,267775,264567,259772,254960,251464,248561,246925,245642,248144,254700,261116,264740,265914,264952,263024,258501,256224,254912,256227,257863,262386,264311,265914,266171,269379,277077,284839,292827,294751,290260,284185,281352,284997
394952,66,"Ventura, CA",Msa,CA,780400,780833,777500,785667,779333,772667,756333,748000,728331,711631,696615,689950,688317,691333,701000,712333,725667,739300,749617,761617,774650,784633,784633,781600,783300,796633,813333,809967,804633,807967,832667,856300,867933,871517,864717,864750,,,
395134,77,"Stockton, CA",Msa,CA,357984,359862,358328,359893,360855,367115,368680,367749,364603,361317,359439,357890,354917,353665,356482,369001,384337,396856,404680,410533,412395,410760,409900,411324,409797,407970,407813,409394,410924,417184,427139,438660,443668,444651,439702,439702,442301,454964,459633
