RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503333,496333,491083,482750,469750,455000,443333,433333,427333,412333,407333,400000,399750,403083,410583,419167,417833,417000,413000,411000,404333,400000,393333,393333,393333,401667,401667,405000,401667,403333,398333,396667,391667,386667,381000,381000,386000,391000,394333,396000,391667,387000,377000,372000,363333,358000,355083,359417,371417,381000,388333,392417,395750,397083,398000,399667,406000,406000,407667,414084,435751,458584,474500,478417,479750,476417,475167,475167,480167,479167,481667,484667,494667,504667,510333,517000,519750,519417,516667,512250,509917,506833,509833,515500,525333,530667,537333,539000,540667,535667,533333,533333,539000,542333,542333,543333,551667,564667,574000,575667,574333,571667,572833,572833,573183,572017,570350,577500,588167,602167,610000,616000,618000,619333,616000,616667,616500,613167,616500,622250,634917,643250,651000,655000,654333,649000,645667,643330,638663,631997,627667,632667,644333,649667,654667,661333,663333,663333,656667,657333,659000,661167,663833,671333,675667,674000,674833,688333,711667,728000,736333,737000,734000,729000,735000
395057,11,"San Francisco, CA",Msa,CA,578083,574750,563083,550000,526667,498333,463333,429833,402458,367458,347625,337000,350917,374167,405500,424583,428333,426667,425167,426500,421500,404983,391650,391650,406667,428667,442000,455000,452833,446167,436500,428500,418500,395167,378333,379333,391833,406833,412500,416333,412333,401333,390000,382333,372083,357083,343750,350000,378333,415000,443333,458333,453333,444250,439250,449250,455000,443333,431833,446833,498000,549500,584500,594000,585667,567333,558333,559000,555667,544000,538333,556667,588333,615000,628333,631333,634667,626250,621583,613250,607333,592333,588833,608167,638167,665000,672750,672083,662083,650333,642667,650000,655667,653000,645667,644917,668583,693583,724333,730000,716667,690000,683333,688667,693667,673667,669500,686833,733500,760667,775000,768333,761667,750000,756333,768667,772000,747333,741333,766333,814333,844667,859667,853333,833333,804167,802500,802500,797000,759167,747500,755500,795750,824083,843417,832667,811000,787250,792417,797417,800167,778333,765000,778333,808000,829667,841000,859667,887333,901000,902667,903333,895000,878333,876667
395025,13,"Riverside, CA",Msa,CA,317333,309000,303667,295667,283667,272333,264667,258000,251333,238000,230000,224333,224000,219667,217000,214667,214000,209000,210000,213333,216667,214667,210417,209750,206750,208833,209500,212083,207917,204583,202000,203333,202583,202583,200917,201333,201000,201000,199667,198833,197167,195500,194167,194167,192500,191333,191000,195000,198667,202333,203333,205333,201650,201650,202983,211667,218333,221667,222167,226333,234333,242833,248667,252667,255333,257000,258667,260417,263750,265083,267667,269333,272667,277667,280583,282250,280917,278167,277833,282750,287583,285500,285917,287583,295333,297000,300333,303333,303333,302333,300667,302333,305000,305000,305333,308333,314667,319667,320000,322000,322333,324667,323000,324000,326500,326500,328500,330000,337000,340083,343750,346750,349667,348833,347500,347833,350333,353000,358500,361667,365667,366833,368667,371333,370667,371667,369333,372333,371333,369000,366667,368333,373333,375000,375000,376333,376667,378248,378582,380393,382144,382144,385000,388333,390667,391167,392833,400500,409000,417333,423000,427333,431333,434000,440667
395056,17,"San Diego, CA",Msa,CA,456667,443333,442333,430250,423250,410917,399667,385000,373333,360833,357500,354167,356250,359583,366250,370167,371833,369750,366250,362583,363000,359333,358000,359667,363333,368333,368333,373333,375500,374750,371417,367583,366667,356667,350000,350000,356917,362083,361750,363167,361333,355000,351667,346500,346250,341250,339750,340000,346167,354667,360000,362000,363167,361833,363667,366667,374333,374333,375000,379333,396417,414750,425417,431667,430000,431667,428333,430000,429333,429167,426333,428667,437167,446667,453333,456333,459667,459667,457167,450500,447167,446667,450000,455000,460667,469000,477000,482000,482000,475667,471500,475167,480167,482667,475667,475667,483333,495333,502000,504667,507500,509167,514500,513000,513000,507667,507667,514333,521667,535000,543333,550000,551667,548333,546333,546333,550417,549917,549583,553500,567667,579500,586500,589833,594000,594000,589000,586667,580000,578000,571500,574833,577500,580667,587333,588333,592500,584167,584833,587333,589000,593000,594167,600833,601167,596667,598333,611667,631667,648333,651667,653333,651667,651667,660000
395045,25,"Sacramento, CA",Msa,CA,325250,317000,308667,301167,296083,288417,287583,281500,277500,262833,251667,246667,246667,250000,248333,250000,248333,246667,243333,238333,235000,230000,226667,227000,228333,230250,232583,236167,234250,232250,229000,233500,232833,227833,222917,219583,222917,221000,222667,221000,223333,221667,216333,208000,203000,199333,200000,199333,206500,209833,215167,218667,222583,224750,226417,230500,235333,237000,238333,244333,254333,266000,276333,284000,286333,286667,286333,287000,285667,281667,284333,289000,297250,304917,309917,314167,312500,312000,311167,308500,310333,307000,314667,313333,322333,324000,329250,328583,327583,326333,327667,330333,333000,331667,330667,334000,342000,350667,356083,358750,360083,359667,361000,360000,360000,356000,355000,358333,365333,375333,382000,388083,388417,388417,390667,392500,393333,387667,388167,390667,399833,405167,410167,411667,410000,408333,405000,405833,402500,399000,398167,401500,411667,418333,425000,427333,427333,424000,420000,420000,421667,423333,425000,429167,435417,437417,441583,450333,461333,469667,474333,474667,472000,466500,470500
395059,34,"San Jose, CA",Msa,CA,697667,694500,691333,678333,652500,622667,592667,558333,528000,501333,493000,478500,486417,506417,535250,552333,549000,538333,530000,524667,524917,509583,496583,501333,519150,543983,548983,559833,554083,550250,543583,536167,530667,503333,490000,491667,510667,526667,539333,544665,542665,524332,505667,497000,485333,469333,457333,468417,503917,536250,562833,578333,586833,577500,567500,569333,572667,571917,569250,585917,627500,664167,689167,690000,685000,677083,674417,674417,667333,653333,655000,676667,711917,732250,743917,741000,739833,730083,731000,727333,723083,704167,703333,725667,762333,796000,814333,831667,833333,820000,805000,794167,793917,778750,778583,790500,834000,865000,875500,870833,850833,845333,840000,842000,835667,823933,825267,854933,893333,928333,941667,947363,942030,945363,954667,973667,980333,972000,1003333,1076667,1143333,1176667,1160000,1140394,1119561,1079561,1082500,1053333,1036667,998333,986667,1016667,1046667,1081667,1100000,1103333,1075000,1033333,1005000,1013333,1009333,989333,1002667,1046333,1108000,1128000,1128333,1124667,1129333,1132667,1153000,1148333,1148000,1134667,1141500
394619,56,"Fresno, CA",Msa,CA,253083,248417,248417,240333,235000,226667,224167,219417,216417,203917,198333,193750,196250,195750,195217,195217,196883,198250,200750,201583,195000,186333,179000,182167,180167,182500,179333,180000,178333,179833,180833,177500,176667,167333,165667,160000,165000,163333,165000,166667,169500,169333,164333,161500,161667,163333,163167,160333,163667,167167,168500,168500,169167,172333,173333,171167,172833,169500,174333,174000,182667,184333,191333,196667,203083,204750,202417,207667,210333,211000,204917,208917,213083,217500,214167,215000,216667,220000,222417,220750,218333,220083,220083,222500,221667,226667,229667,233000,234500,233167,230833,233583,234167,234500,228917,230500,232500,235500,237667,240667,243167,245250,246250,248083,246667,244000,240333,242000,244000,249151,252735,259401,263583,266667,265500,267167,267833,265667,268000,266333,269667,268667,272000,275333,276000,273667,273667,273333,275000,273667,273667,278667,280500,282917,281250,284083,284667,288500,290083,293083,292583,292667,293333,293500,295167,296000,302000,308667,311167,311500,313167,314833,315000,313333,317000
394357,63,"Bakersfield, CA",Msa,CA,232333,231667,226667,221667,215000,205000,195000,186000,181000,172667,165000,158333,161667,159000,162000,160333,163000,158750,158417,158250,158167,152667,150500,146500,145667,146867,150534,153867,150000,145000,141333,142333,140667,140667,134667,133000,129667,133000,136333,140000,140667,138833,137000,136000,139167,137667,132667,128000,133000,136333,141333,140333,147583,147583,151083,149333,152667,153500,156167,159500,164500,170000,175583,180583,183417,186167,183833,184833,183167,185500,185000,185083,185417,188750,191500,193417,195083,198083,197500,197083,199583,201250,204667,201000,204333,203750,207417,210750,213333,211833,207333,205667,207000,207667,207667,206083,207917,209583,216333,220000,220000,216667,216667,219083,220750,215750,212000,210333,217833,219500,222833,223667,227250,229167,227333,228417,228917,228417,228250,226667,229000,230833,233333,236667,238333,239333,237667,234333,231667,230000,230000,233667,237333,242333,247000,250000,251667,250000,250000,250925,250925,247592,248333,249167,255833,257500,262600,264267,268600,269333,272833,275833,277500,278667,274667
394952,66,"Ventura, CA",Msa,CA,486000,485167,483000,477667,464667,450000,435333,424250,420583,403083,390833,372500,378333,380000,391667,398000,408667,412000,409000,395000,386667,383333,383333,388000,393000,399167,396167,391167,391667,398333,398333,400500,393833,387167,373333,367333,372333,380667,381667,380000,380000,381167,374500,372083,364083,361250,351667,358500,370083,380500,387167,386750,386667,387667,384333,389333,385000,391333,393833,402167,415833,428333,447667,456000,459667,457000,453667,454267,455933,458933,454667,449667,451333,463000,473000,485500,494583,493667,489833,479083,482750,481750,485083,482333,486333,496333,513500,522167,522333,512833,508667,511833,514167,513667,508667,510333,518333,528333,543333,540333,545333,530333,536667,533333,540333,537000,538667,544333,558312,566645,573312,571000,572667,570000,570000,578833,583083,592917,580750,578167,576667,588000,603000,601333,599917,598250,606583,605667,599000,584750,578750,578750,589667,598333,598000,596000,596583,600250,602250,600000,596667,600000,601667,606667,607833,611167,621083,631583,648250,666667,675000,683667,677000,683667,681667
395134,77,"Stockton, CA",Msa,CA,302667,283833,266000,255000,242833,234500,231167,222545,219545,204545,198667,186667,186667,190000,193667,196667,190000,186333,182167,184500,189500,190667,189833,186500,183167,186667,188333,189333,182667,184333,182833,184500,177333,178833,177083,177583,174917,173833,172833,172833,173667,175167,171333,168333,166167,166667,170000,168333,173417,173417,180083,178417,178417,180083,183667,192000,195333,199000,193000,199667,204167,216833,218500,228333,235000,244000,242333,242333,243833,247167,248500,251000,254333,259500,261500,266500,270000,273333,274000,270667,274000,272167,278833,275500,280000,281667,289833,294833,300833,299333,297667,300000,305000,308333,309000,309000,314000,320000,321667,324000,324167,326833,327833,326000,329000,329000,332333,335500,343583,346917,348083,351667,358333,363667,361833,365167,367667,371167,373417,380583,385750,385167,381300,379467,384467,383333,384333,383917,390833,398167,404917,405667,406500,397750,396750,391083,398500,398500,401667,403333,410000,418333,425250,426417,429750,427833,426667,424333,421000,422667,425000,431667,431667,433333,435000
