Year,County,Violent,Homicide,Rape,Robbery,AggAssault,Property,Burglary,VehicleTheft,Total
1985,Alameda County,427,3,27,166,231,3964,1483,353,2128
1985,Alameda County,405,7,15,220,163,4486,989,260,3237
1985,Alameda County,101,1,4,58,38,634,161,55,418
1985,Alameda County,1164,11,43,660,450,12035,2930,869,8236
1985,Alameda County,146,0,5,82,59,971,205,102,664
1985,Alameda County,614,3,34,86,491,6053,1786,350,3917
1985,Alameda County,671,6,36,250,379,6774,1693,471,4610
1985,Alameda County,185,0,12,29,144,2364,614,144,1606
1985,Alameda County,199,3,16,41,139,2071,481,74,1516
1985,Alameda County,6703,95,531,3316,2761,36120,11846,3408,20866
1985,Alameda County,33,0,2,20,11,340,104,23,213
1985,Alameda County,72,0,5,23,44,1539,351,75,1113
1985,Alameda County,411,3,22,273,113,4373,905,278,3190
1985,Alameda County,231,5,21,86,119,2582,902,158,1522
1985,Alameda County,22,4,5,3,10,121,16,7,98
1985,Alameda County,0,0,0,0,0,154,7,7,140
1985,Alameda County,93,1,3,75,14,1456,6,284,1166
1985,Alameda County,0,0,0,0,0,150,0,1,149
1985,Alameda County,3,0,0,0,3,78,1,0,77
1985,Alameda County,0,0,0,0,0,14,1,0,13
1985,Alameda County,23,0,0,1,22,226,106,4,116
1985,Alameda County,38,0,2,16,20,679,154,67,458
1985,Alameda County,1,1,0,0,0,20,2,2,16
1985,Alameda County,0,0,0,0,0,42,36,0,6
1985,Alameda County,56,0,5,19,32,1856,174,90,1592
1985,Alameda County,17,0,3,3,11,140,44,5,91
1985,Alameda County,13,0,0,0,13,55,0,55,0
1985,Alpine County,8,0,0,0,8,287,27,5,255
1985,Alpine County,0,0,0,0,0,1,0,1,0
1985,Amador County,67,3,1,4,59,299,149,2,148
1985,Amador County,12,0,0,0,12,52,14,5,33
1985,Amador County,0,0,0,0,0,136,29,3,104
1985,Amador County,0,0,0,0,0,14,3,0,11
1985,Amador County,0,0,0,0,0,60,6,4,50
1985,Amador County,0,0,0,0,0,0,0,0,0
1985,Amador County,0,0,0,0,0,14,0,14,0
1985,Butte County,258,3,39,49,167,3221,1357,18,1846
1985,Butte County,4,0,0,0,4,82,25,5,52
1985,Butte County,149,0,19,36,94,2519,585,146,1788
1985,Butte County,56,0,2,2,52,391,102,11,278
1985,Butte County,92,0,6,22,64,1050,350,68,632
1985,Butte County,49,0,2,2,45,551,184,26,341
1985,Butte County,0,0,0,0,0,1,0,0,1
1985,Butte County,0,0,0,0,0,90,4,3,83
1985,Butte County,2,0,0,0,2,378,39,12,327
1985,Butte County,3,0,0,0,3,34,7,3,24
1985,Butte County,1,0,0,0,1,165,0,146,19
1985,Calaveras County,195,19,7,3,166,796,465,8,323
1985,Calaveras County,19,0,1,0,18,98,21,7,70
1985,Calaveras County,0,0,0,0,0,1,0,0,1
1985,Calaveras County,0,0,0,0,0,0,0,0,0
1985,Calaveras County,0,0,0,0,0,27,0,27,0
1985,Colusa County,35,2,6,0,27,363,128,17,218
1985,Colusa County,2,0,0,0,2,189,50,10,129
1985,Colusa County,11,0,0,2,9,66,19,7,40
1985,Colusa County,0,0,0,0,0,1,0,0,1
1985,Colusa County,0,0,0,0,0,6,0,5,1
1985,Contra Costa County,528,13,51,139,325,6053,2467,9,3577
