RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/14,2/28/21,3/31/21,Bdrm,CAGR,Lat,Lng
94567,Zip,CA,CA,Pope Valley,Napa,Napa County,341561.0,343077,343655,2,0.6130676511662632,38.6844198,-122.4693688
95762,Zip,CA,CA,El Dorado Hills,Sacramento--Roseville--Arden-Arcade,El Dorado County,347207.0,346318,353654,1,1.856817402874942,38.6575905,-121.0564425
92555,Zip,CA,CA,Moreno Valley,Riverside-San Bernardino-Ontario,Riverside County,364672.0,369914,372444,1,2.1312302562302565,33.9206847,-117.1147095
95554,Zip,CA,CA,Myers Flat,Eureka-Arcata-Fortuna,Humboldt County,412021.0,424761,422492,3,2.541375318248342,40.2676912,-123.7823278
94549,Zip,CA,CA,Lafayette,San Francisco-Oakland-Hayward,Contra Costa County,1034925.0,1073843,1063895,1,2.7992366596613283,37.8929461,-122.1178261
95589,Zip,CA,CA,Whitethorn,Eureka-Arcata-Fortuna,Humboldt County,375367.0,384942,389155,3,3.673205156553453,40.0203165,-123.9688785
93041,Zip,CA,CA,Port Hueneme,Oxnard-Thousand Oaks-Ventura,Ventura County,415329.0,436715,430800,1,3.724998735941868,34.1451995,-119.1942983
96061,Zip,CA,CA,Mill Creek,Red Bluff,Tehama County,200688.0,205705,208199,3,3.7426253687315634,40.3696189,-121.4684703
95549,Zip,CA,CA,Kneeland,Eureka-Arcata-Fortuna,Humboldt County,411780.0,431730,427961,2,3.92952547476808,40.6161714,-123.8602647
93103,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,626435.0,645353,651271,1,3.9646571471900516,34.433094,-119.6817845
93271,Zip,CA,CA,Three Rivers,Visalia-Porterville,Tulare County,258442.0,274988,269095,1,4.122008032750095,36.4495198,-118.7198004
93219,Zip,CA,CA,Earlimart,Visalia-Porterville,Tulare County,150315.0,158193,156928,2,4.399427868143565,39.28811839999999,-123.2475594
96113,Zip,CA,CA,Doyle,Susanville,Lassen County,85748.0,90235,90935,3,6.049120679199515,40.1462051,-120.1170664
96113,Zip,CA,CA,Doyle,Susanville,Lassen County,69532.0,72963,73785,2,6.116608180406144,40.1462051,-120.1170664
95366,Zip,CA,CA,Ripon,Stockton-Lodi,San Joaquin County,372933.0,400417,397504,1,6.588582935808845,37.7514303,-121.1481284
95012,Zip,CA,CA,Castroville,Salinas,Monterey County,470500.0,494862,501956,1,6.685653560042508,36.7646209,-121.7594384
93255,Zip,CA,CA,Onyx,Bakersfield,Kern County,78950.0,84432,84349,1,6.838505383153895,35.7377864,-118.0654445
93720,Zip,CA,CA,Fresno,Fresno,Fresno County,197311.0,205784,211291,1,7.085261338698805,36.8638688,-119.7715563
95573,Zip,CA,CA,Willow Creek,Eureka-Arcata-Fortuna,Humboldt County,235017.0,248279,253665,1,7.934745146095815,40.9089201,-123.6596995
95571,Zip,CA,CA,Myers Flat,Eureka-Arcata-Fortuna,Humboldt County,289010.0,308180,312023,3,7.962700252586416,40.3322706,-123.9111517
94576,Zip,CA,CA,Deer Park,Napa,Napa County,1031356.0,1097698,1114839,2,8.094489196746807,38.5600327,-122.4835193
90010,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,448351.0,480930,486174,1,8.436024454054971,34.0625448,-118.3089341
93109,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,525858.0,558108,572273,1,8.826527313457246,34.4038383,-119.7252297
92807,Zip,CA,CA,Anaheim,Los Angeles-Long Beach-Anaheim,Orange County,599856.0,648729,653035,1,8.86529433730762,33.8459536,-117.7901088
91326,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,477775.0,519507,521308,1,9.111611114018105,34.2894584,-118.5622893
