RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,19100,19000,20000,20000,20000,20000,19000,15900,16000,16000,15100,15000,15000,15000,15100,19000,19010,19999,20000,19000,19000,19000,19200,15000,19000,21000,22000,19000,19100,20000,20750,25000,24000,24000,24000,20000,25000,25000,29921.5
395057,11,"San Francisco, CA",Msa,CA,15000,21000,27612,27000,29000,26000,21000,20000,20000,22000,20000,20000,19001,18888,20000,20000,21000,20000,20000,20000,20000,20000,20000,15000,16000,20000,25000,20000,23000,25000,27000,25000,30000,30000,30000,24975,25450,34000,35250
395025,13,"Riverside, CA",Msa,CA,10000,10000,10000,10000,10000,10000,10000,10000,9910,10000,10000,10000,10000,10000,10000,10000,9997.5,10000,10000,9900,8900,8500,9000,9100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10990,12000,15001
395056,17,"San Diego, CA",Msa,CA,12400,14000,13000,14999.5,15000,14000,14000,11500,10900,11000,12500,10000,10000,10000,11000,12000,12501,12000,11000,11000,10900,11000,11000,10000,11000,15000,15000,10001,12000,14100,16000,16000,19999,16000,15000,11000,19900,22000,21000
395045,25,"Sacramento, CA",Msa,CA,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,14000,14700,14000,14000,15000,16050,16000
395059,34,"San Jose, CA",Msa,CA,,37000,33500,40000,49943.5,50000,36000,29638,35000,40000,30000,25525,20000,20000,34999.5,40000,31000,31061.5,30000,25974.5,25000,30000,24000,21000,23888,20000.5,30000,20900,30000,31000,38444,40000,41000,41888,39888,41000,30000,48888,48900
394619,56,"Fresno, CA",Msa,CA,6000,6500,9000,8500,9055,9000,8000,8050,7900,8000,5300,6650,6000,7000,7500,7777,9900,10000,9455,7900,8000,7000,6000,6275,6100,9062,10000,7875,7610,9450,10000,10000,10000,10000,6900,9100,10000,10000,11000
394357,63,"Bakersfield, CA",Msa,CA,5000,6000,5925,5100,6100,7000,5900,6000,5050,5000,5000,5000,5000,5100,5001,6000,5900,6000,6000,5100,5900,5500,6000,5100,5000,7000,5100,5000,5000,7000,6000,8000,8050,9000,9000,9900.5,7000,7000,10000
394952,66,"Ventura, CA",Msa,CA,15000,10100,14995,14000,12000,12000,14100,12099.5,12000,10001,10000,10000,11000,13000,10995,11000,10900,12500,14000,14000,11500,12775,11000,14000,15001,20000,16000,15000,14400,14000,16000,20000,24000,19500,19800,20125,20000,25003,30000
395134,77,"Stockton, CA",Msa,CA,9100,10000,9000,10000,10000,10000,10000,9900,10000,10000,10000,7000,9999,10000,9500,10000,10000,10000,10000,9998,10000,10000,10000,9900,10000,10000,10000,7000,8000,8963,10000,10000,10000,10100,10000,10000,10001,11000,10004
