RegionID,RegionName,SizeRank,MsaName,,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03
97227,93312,853,Bakersfield, CA,1559,1566,1572,1578,1584,1590,1596,1601,1607,1613,1617,1621,1625,1627,1630,1633,1633,1634,1635,1634,1632,1631,1629,1627,1626,1624,1623,1621,1621,1620,1620,1621,1621,1622,1623,1624,1624,1626,1627,1629,1630,1632,1634,1639,1643,1648,1655,1662,1669,1677,1684,1691,1697,1703,1709,1713,1717,1721,1724,1727,1729,1732,1735,1738,1742,1747,1752,1757,1761,1765,1769,1773,1777,1784,1791,1797,1809,1820,1831,1845,1858,1871,1885,1899,1914,1928,1943
97431,93722,143,Fresno, CA,1132,1134,1137,1139,1142,1144,1147,1150,1153,1156,1159,1162,1165,1169,1173,1178,1182,1186,1190,1194,1198,1203,1207,1212,1217,1223,1228,1234,1239,1245,1250,1254,1259,1263,1266,1270,1274,1278,1282,1286,1291,1295,1299,1304,1308,1313,1318,1323,1328,1333,1338,1343,1350,1356,1362,1370,1378,1385,1394,1402,1410,1417,1425,1432,1439,1446,1453,1459,1464,1469,1473,1477,1481,1487,1492,1498,1508,1518,1528,1540,1552,1564,1577,1590,1602,1616,
97365,93619,1898,Fresno, CA,,1472,1474,1476,,1481,1483,1485,1487,1490,1492,1495,1498,1501,1504,1507,1509,1512,1514,1517,1521,1524,1528,1533,1537,1542,1547,1552,1556,1561,1566,1570,1574,1578,1583,1588,1593,1598,1604,1609,1615,1620,1625,1629,1634,1638,1643,1647,1651,1655,1659,1663,1667,1670,1673,1677,1681,1684,1687,1690,1693,1696,1700,1703,1708,1713,1718,1722,1726,1730,1733,1736,1739,1744,1749,1755,1764,1774,1783,1795,1806,1818,1831,1843,1855,1869,1882
97359,93612,2178,Fresno, CA,,,1037,1037,1038,1038,1039,1039,1040,1040,1042,1044,1045,1048,1051,1053,1056,1059,1062,1065,1069,1072,1076,1080,1085,1089,1093,1097,1100,1104,1108,1113,1117,1122,1127,1131,1136,1141,1145,1150,1155,1160,1165,1170,1175,1180,1185,1189,1194,1200,1205,1211,1216,1222,1227,1232,1237,1243,1248,1254,1260,1266,1273,1279,1287,1294,1302,1310,1319,1327,1334,1342,1349,1356,1362,1369,1374,1380,1385,1391,1396,1401,1407,1412,1417,1423,1428
97421,93710,3197,Fresno, CA,,968,974,,,989,,1000,,1010,,1017,1020,,1024,1026,1027,1027,1028,1026,1025,1024,1024,1024,1024,1025,1027,1028,,1035,1038,1044,1049,1055,1062,1070,1077,1087,1096,1105,1111,1118,1124,1127,1131,1134,1137,1140,1143,1145,1147,1149,1152,1155,1158,1164,1169,1175,,1188,1194,1202,1209,1216,1224,1231,1238,1246,1254,1262,1270,1277,1284,1292,1300,1307,1320,1332,1344,1358,1373,1387,1401,1416,1430,1445,1460
96107,90250,23,Los Angeles-Long Beach-Anaheim, CA,1152,1161,1170,1179,1188,1197,1206,1214,1223,1231,1240,1248,1256,1263,1270,1277,1283,1289,1296,1304,1312,1321,1332,1342,1353,1364,1375,1387,1398,1409,1420,1433,1446,1460,1473,1487,1500,1512,1524,1535,1546,1556,1566,1574,1582,1590,1598,1606,1613,1622,1631,1640,1648,1657,1666,1674,1682,1690,1698,1707,1715,1723,1730,1738,1745,1753,1760,1765,1771,1776,1778,1781,1784,1786,1789,1791,1794,1797,1800,1804,1807,1811,1814,1818,1821,1825,1829
96027,90046,45,Los Angeles-Long Beach-Anaheim, CA,1557,,,1700,1744,1788,1832,1873,1914,1956,1982,2007,,2045,2057,2069,2081,2092,2104,2120,2135,2151,2167,2182,2197,2208,2218,2229,2237,2245,2254,2266,2278,2289,2300,2310,2320,2328,2337,2346,2355,2365,2375,2382,2388,2395,2402,2410,2417,2424,2432,2439,2443,2446,2450,2452,2453,2455,2459,2463,2467,2473,2480,2486,2491,2497,2502,2506,2510,2514,2514,2513,2512,2509,2506,2504,2500,2497,2493,2489,2485,2481,2477,2473,2468,2464,2460
96015,90034,100,Los Angeles-Long Beach-Anaheim, CA,1668,1678,1689,1700,1711,1721,1732,1743,1754,1765,1775,1785,1795,1804,1814,1824,1834,1844,1854,1866,1879,1891,1908,1925,1942,1957,1972,1988,2001,2014,2028,2037,2047,2056,2063,2070,2078,2086,2095,2103,2113,2122,2131,2140,2148,2157,2165,2172,2180,2189,2198,2207,2216,2226,2235,2245,2255,2264,2273,2282,2291,2297,2303,2309,2314,2318,2322,2323,2325,2326,2325,2324,2323,2317,2310,2304,2291,2278,2265,2251,2237,2224,2209,2195,2181,2166,2152
96239,90805,113,Los Angeles-Long Beach-Anaheim, CA,1092,1106,1121,1135,1151,1167,1183,1200,1216,,1250,1267,,,1313,,,1337,,,1338,1336,1334,1331,1329,1329,1330,1331,1335,1340,1345,1350,1355,1361,1368,1376,1383,1392,1401,1409,1417,1424,1431,1438,1444,1450,1454,1458,1461,1467,1472,1477,1485,1493,1501,1501,1500,1499,1498,1497,1495,1503,,,1528,1537,1547,1560,1574,1587,1602,,1630,1636,1641,1646,1651,1655,1660,1665,1671,1677,1683,1689,1695,1701,1708
96007,90026,137,Los Angeles-Long Beach-Anaheim, CA,1693,1708,1723,1737,1752,1766,,1795,1810,1824,1839,1854,1868,1884,1899,1914,1932,1950,1968,1987,2007,2026,2044,2061,2079,2095,2110,2126,2138,2150,2162,2173,2183,2193,2206,2218,2231,2241,2252,2262,2271,2280,2288,2296,2304,2312,2316,2320,2324,2328,2332,2336,2342,2348,2354,2359,2365,2371,2378,2386,2393,2401,2408,2416,2423,2430,2438,2443,2448,2453,2452,2451,2450,2447,2445,2442,2438,2435,2432,2427,2422,2417,2413,2409,2404,2400,2396
