RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,3624,4379,5198,5702,5868,6509,6166,5844,5932,4349,4836,3250,3444,4877,5282,5815,7213,7702,6944,7188,7457,6548,7796,5156,5080,7326,7220,8357,8922,7095,6782,6854,6155,6045,7014,5067,4893,6961,6764,6778,7621,6794,7242,6810,6172,6272,6995,5265,5700,7605,7537,8623,8958,8447,9773,7897,9184,8551,9210,6647,6759,8916,9269,10480,9712,10487,10665,8730,9144,7833,8555,6489,6274,8042,9017,9351,9412,9561,9253,8520,9076,7215,8573,6046,6228,9087,9883,9944,11188,11135,9759,9534,9180,7013,9664,6765,6751,9090,9698,10273,11177,10123,10658,9922,9279,9104,9552,7117,6723,10065,9151,10891,12022,9857,11331,9871,9470,8869,9202,6784,6668,9822,9315,10328,10694,9797,10315,7731,8617,7649,7262,5529,5837,7967,8923,9878,9441,9803,9996,8838,9414,8134,8781,6671,6644,7993,5838,4788,7022,9521,9611,10268,10653,9056,10379,7488,7365,9892
395057,11,"San Francisco, CA",Msa,CA,1845,2388,2938,3205,3406,3751,3535,3256,3422,2555,2938,1997,2050,2622,2862,3228,3676,3901,3403,3488,3730,3355,3521,2254,2247,3288,3399,4092,4110,3325,3105,3091,3050,2922,3312,2239,2270,3332,3256,3482,4023,3491,3649,3331,3059,3275,3449,2420,2694,3713,3754,4260,4434,4147,4366,3495,4121,3894,3787,2671,2801,3833,4137,4624,4478,4753,4651,3753,4234,3747,3529,2572,2617,3499,4177,4457,4398,4637,4291,3908,4372,3374,3552,2315,2480,3726,4314,4460,5053,4976,4231,4159,4166,3428,4240,2591,2540,3703,4071,4362,4834,4335,4440,4235,4132,4025,3751,2558,2577,4037,3891,4632,5223,4336,4724,4049,4441,4133,3728,2378,2610,4022,4138,4666,4833,4244,4176,3284,3991,3460,2828,1970,2308,3231,3907,4719,4022,4004,3929,3233,3923,3275,3269,2172,2362,3112,2322,2032,3390,4313,4194,4390,4441,4345,4425,2939,2874,3617
395025,13,"Riverside, CA",Msa,CA,2230,2776,2921,3310,3272,3420,3201,3211,3285,2667,3060,2227,2213,2809,3005,3133,3679,3858,3660,3722,3861,3759,4207,3090,3087,4232,4372,4625,5301,3956,3910,3790,3513,3485,3979,2951,3039,4053,3722,3891,4211,3651,4094,3722,3507,3669,4029,3145,3436,4364,4131,4826,4765,4312,5933,4094,4902,4711,4618,4008,3898,4826,5076,5488,5021,5421,5644,4852,5052,4468,4651,3940,3753,4551,5233,5273,5238,5289,4925,4935,5144,4150,4952,3705,3715,5270,5766,5793,6384,6418,5612,5562,5340,4425,5610,4104,4298,5824,5878,6208,6937,6104,6475,6116,5769,5781,6040,4735,4580,6645,6148,7090,7625,6331,7307,6261,6257,5881,6012,4822,4678,6440,6467,7009,6868,6425,6762,5606,6025,5536,5011,4078,4301,5645,6150,6825,6087,6504,6543,5646,6147,5146,5409,4636,4479,5627,4249,3775,5461,6838,6585,6719,6948,6117,6858,5127,4984,6003
395056,17,"San Diego, CA",Msa,CA,1204,1324,1807,1897,1864,2056,1868,1794,1921,1392,1732,1135,1198,1489,1757,1779,2246,2406,2200,2269,2413,2167,2483,1494,1661,2253,2372,,,2224,2223,2263,1990,1902,2292,1501,1544,2166,2299,2191,2466,2195,2364,2256,2016,2075,2459,1671,1915,2437,2656,2872,2876,2881,3268,2667,2999,2779,3142,2197,2303,3109,3230,3608,3417,3722,3577,2957,3083,2648,2662,2035,2228,2604,3206,3211,3281,3119,2973,3001,2989,2373,3004,1973,2326,3084,3694,3446,4093,3887,3395,3198,2963,2462,3279,2146,2374,3281,3662,3695,4053,3599,3837,3529,3313,3127,3109,2245,2401,3444,3329,3857,4054,3485,3782,3262,3334,3039,3066,2408,2478,3193,3474,3733,3738,3442,3636,2732,3010,2792,2529,1814,2186,2806,3307,3446,3183,3480,3321,2960,3007,2707,2800,2240,2395,2917,2317,1979,3076,3777,3615,3812,3694,3391,3544,2366,2581,3080
395045,25,"Sacramento, CA",Msa,CA,1076,1347,1515,1686,1884,1897,1853,1857,1730,1343,1467,940,1003,1348,1415,1503,1826,1975,1728,1759,1916,1749,1819,1253,1238,1845,1806,2120,2315,1666,1796,1717,1583,1490,1704,1274,1251,1792,1696,1813,1972,1857,2046,2001,1884,1843,2083,1506,1706,2175,2094,2459,2554,2463,2769,2379,2712,2438,2452,1837,1936,2533,2730,3105,2986,3052,3096,2675,2660,2185,2349,1797,1911,2320,2742,2850,2865,2990,2886,2732,2782,2163,2581,1788,2046,2830,3222,3178,3674,3566,3410,3242,3042,2457,3142,2057,2286,2989,3347,3445,3881,3394,3704,3529,3229,3089,3258,2267,2277,3054,3226,3765,4033,3504,3980,3519,3482,3234,3183,2426,2410,3162,3530,3790,3700,3477,3633,2823,3062,2654,2295,1889,2213,2730,3051,3547,3259,3517,3321,2950,3202,2670,2716,2188,2210,2747,2200,2180,3224,3949,3739,3763,3709,3230,3424,,,
395059,34,"San Jose, CA",Msa,CA,720,924,1005,1174,1254,1247,1276,1142,1040,743,785,558,573,709,876,1053,1391,1495,1237,1375,1400,1271,1382,818,843,1249,1357,,1611,1331,1286,1187,1101,1177,1272,798,869,1320,1391,1384,1518,1348,1426,1290,1190,1190,1261,917,1017,1438,1530,1792,1685,1542,1622,1410,1524,1526,1611,920,1052,1448,1625,1775,1640,1818,1786,1589,1611,1323,1340,917,1022,1339,1702,1744,1704,1668,1559,1530,1622,1311,1376,885,981,1483,1791,1707,1941,1867,1669,1564,1504,1244,1585,984,918,1374,1671,1711,1840,1465,1517,1562,1511,1494,1366,912,971,1463,1494,1871,1980,1682,1751,1612,1531,1423,1378,893,985,1492,1552,1722,1554,1395,1473,1179,1269,1179,956,702,827,1264,1387,1569,1347,1334,1358,1118,1285,1225,1208,776,914,1086,863,704,1218,1477,1396,1488,1650,1524,1426,1049,1162,1675
394619,56,"Fresno, CA",Msa,CA,337,383,490,462,495,517,544,536,565,407,487,326,307,427,525,466,581,625,566,589,623,599,563,385,371,503,552,588,715,474,512,488,465,443,485,395,359,494,516,495,615,570,651,571,565,568,633,449,508,594,588,678,684,691,738,646,803,675,671,517,602,672,726,815,779,884,839,736,745,667,751,553,584,651,811,848,797,845,810,810,826,638,816,576,613,825,868,907,1050,953,928,945,885,632,878,665,706,914,939,979,1099,977,1103,978,931,845,960,677,686,939,957,1050,1214,1024,1213,1031,1035,971,955,718,786,1006,1020,1127,1176,1032,1150,894,978,906,931,706,647,928,969,1039,1007,1056,1038,921,969,852,980,690,730,839,760,697,930,953,963,916,977,888,956,697,678,879
394357,63,"Bakersfield, CA",Msa,CA,403,441,516,561,577,565,536,583,525,365,429,346,340,465,438,462,522,604,561,550,649,,,,,,,,,,,,,,,,,,566,582,591,545,685,657,565,661,654,507,524,688,665,744,805,716,805,636,822,696,723,623,558,722,745,883,883,960,911,816,848,759,714,641,600,738,792,926,906,942,972,809,933,757,831,649,595,849,923,996,1041,1129,998,999,918,704,851,717,702,927,939,1018,1154,994,1070,1051,944,942,938,784,742,1068,942,1108,1192,1034,1139,991,1047,930,992,799,762,1054,980,1197,1206,1123,1148,936,1073,951,833,672,661,879,981,1036,971,1195,1243,1090,1054,811,787,739,697,871,770,711,995,1218,1018,1158,1148,1008,1183,874,835,1102
394952,66,"Ventura, CA",Msa,CA,320,373,510,475,483,551,577,446,474,406,443,313,305,476,500,606,633,628,573,585,618,546,664,373,438,583,589,658,716,560,541,516,483,445,519,388,413,502,503,505,582,549,595,580,531,455,568,414,410,617,616,772,749,690,815,690,718,723,743,459,516,739,756,800,784,867,859,727,762,625,717,499,455,594,758,785,801,822,834,677,754,608,738,518,501,788,939,888,981,998,919,932,877,603,787,543,539,842,805,911,1054,941,964,807,808,737,798,599,517,866,815,926,1090,869,936,851,810,719,687,603,555,824,734,921,852,855,917,659,797,637,607,496,523,663,814,878,856,918,913,786,863,699,660,556,556,702,544,392,696,917,988,985,982,873,961,638,654,739
395134,77,"Stockton, CA",Msa,CA,227,269,365,439,465,479,505,437,417,342,388,283,258,337,367,363,429,482,425,439,545,459,498,386,388,508,505,566,657,477,502,488,450,456,507,337,356,505,480,489,537,486,550,508,512,553,527,437,456,610,524,576,620,565,718,566,704,603,660,452,552,620,693,743,628,733,751,697,700,607,619,478,461,542,597,675,659,654,632,631,701,532,667,482,514,691,672,831,919,875,833,852,846,568,868,604,573,816,776,838,889,850,880,825,817,809,839,597,563,841,821,914,1044,807,990,929,922,816,853,587,587,820,726,869,880,733,897,704,825,716,727,521,573,743,767,878,779,848,867,740,887,734,799,631,564,699,604,477,685,830,782,817,876,752,831,,,
