ZipCode,County,Lat,Lng,walk score,bike score
95412,Sonoma County,38.713891600000004,-123.32616709999999,0,
95017,Santa Cruz County,37.091858200000004,-122.23135390000002,0,3
94020,San Mateo County,37.2911153,-122.20865790000002,0,9
94060,San Mateo County,37.2051162,-122.33342579999999,0,10
93110,Santa Barbara County,34.508431200000004,-119.7310213,0,
93920,Monterey County,36.0514956,-121.5141615,0,
95559,Humboldt County,40.196617700000004,-123.8004324,0,
96142,El Dorado County,39.05013029999999,-120.14160890000001,3,1
93224,Kern County,35.2031054,-119.5803605,0,22
95033,Santa Clara County,37.16110400000001,-121.9700618,0,4
91980,San Diego County,32.5841377,-116.6140621,0,14
95488,Mendocino County,39.716228,-123.77411950000001,0,19
95553,Humboldt County,40.2661253,-123.9278088,0,
95421,Sonoma County,38.607352899999995,-123.1913722,0,
95542,Humboldt County,40.0893047,-123.7038831,0,
94922,Sonoma County,38.341288899999995,-122.94940090000001,0,
94567,Napa County,38.6844198,-122.46936880000001,0,
95762,El Dorado County,38.657590500000005,-121.0564425,8,10
92555,Riverside County,33.9206847,-117.1147095,0,36
95554,Humboldt County,40.2676912,-123.78232779999999,0,
94549,Contra Costa County,37.8929461,-122.11782609999999,93,58
95589,Humboldt County,40.0203165,-123.96887849999999,0,
93041,Ventura County,34.1451995,-119.1942983,67,56
96061,Tehama County,40.3696189,-121.46847029999999,0,17
95549,Humboldt County,40.6161714,-123.86026470000002,0,
93103,Santa Barbara County,34.433094,-119.68178449999999,56,37
93271,Tulare County,36.4495198,-118.7198004,0,2
93219,Tulare County,39.28811839999999,-123.2475594,0,
96113,Lassen County,40.1462051,-120.11706640000001,0,27
95366,San Joaquin County,37.751430299999996,-121.1481284,2,30
95012,Monterey County,36.7646209,-121.75943840000001,69,58
93255,Kern County,35.7377864,-118.06544450000001,0,
93720,Fresno County,36.8638688,-119.77155630000001,13,65
95573,Humboldt County,40.9089201,-123.65969950000002,3,2
95571,Humboldt County,40.3322706,-123.9111517,0,
94576,Napa County,38.56003270000001,-122.4835193,0,2
90010,Los Angeles County,34.0625448,-118.3089341,98,61
93109,Santa Barbara County,34.4038383,-119.7252297,72,52
92807,Orange County,33.8459536,-117.7901088,64,24
91326,Los Angeles County,34.2894584,-118.56228929999999,6,15
95637,Yolo County,38.8297286,-122.2427,0,28
95560,Humboldt County,40.13103479999999,-123.858434,0,
94123,San Francisco County,37.802040500000004,-122.4382307,97,92
94505,Contra Costa County,37.90118270000001,-121.6022434,48,42
94105,San Francisco County,37.789018299999995,-122.3915063,95,73
92539,Riverside County,33.5257713,-116.6317514,1,18
94133,San Francisco County,37.80598870000001,-122.4099154,98,65
94111,San Francisco County,37.79593620000001,-122.40000320000001,100,86
95960,Nevada County,39.4259125,-121.04497679999999,0,21
93441,Santa Barbara County,34.7761654,-119.99139640000001,0,13
96009,Lassen County,41.028815,-120.9362113,0,20
95922,Yuba County,39.488214299999996,-121.0564425,0,21
