Zip_Code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,MsaName,Unnamed: 2,Current_Rent,rent_value_mm,rent_value_yy,Median_ROI,lat,lng
90740,"seal beach, ca",314945.0,-0.0032,0.1288,45.0,-0.0426,,26.0,-0.306666667,-0.531531532,52.0,0.3,0.625,0.0,,,8.0,-0.3333,-0.5,90.0,-0.011000000000000001,0.6667,305.047619,0.0,0.0262,1075.0,-0.0227,-0.0227,601844.7729999999,0.3014,0.254,135.0,-0.0217,-0.2241,2.0,0.0638,1.55,Los Angeles-Long Beach-Anaheim, CA,2553.0,0.001962323,0.028191704,9.73,33.7535679,-118.0830047
92543,"hemet, ca",244000.0,0.0062,0.0655,44.0,0.0,,113.5,-0.06584362099999999,0.33529411800000003,32.0,0.1429,1.0,0.0,-1.0,,0.0,-1.0,-1.0,63.0,0.0,0.4651,243.0277778,0.0156,0.2429,1000.0,0.0,-0.1338,317770.4917,0.1729,0.2912,107.0,0.0,-0.1832,1.4318181819999998,0.0,0.9432,Riverside, CA,1607.0,0.007523511,0.107512061,7.90,33.6991526,-116.9793554
92637,"laguna woods, ca",323500.0,-0.0061,0.0452,150.0,-0.0196,,47.5,-0.086538462,,76.0,-0.0952,1.1111,0.0,,,32.0,-0.3333,-0.2,169.0,0.1901,1.4493,287.1501893,-0.009000000000000001,0.0274,1040.0,0.0,-0.0361,328031.8637,-0.0004,-0.062,319.0,0.0814,0.2412,1.126666667,0.1986,0.7596,Los Angeles-Long Beach-Anaheim, CA,2017.0,0,-0.00049554,7.48,33.6108676,-117.7285406
92203,"indio, ca",476000.0,0.0021,,40.0,0.1111,,20.5,-0.19607843100000003,,60.0,0.5,0.25,8.0,,,8.0,,-0.7143,120.0,-0.1724,0.6438,216.88514359999996,0.0364,0.1775,2232.0,-0.0834,0.0077,506392.833,-0.1241,0.0891,160.0,-0.11599999999999999,-0.3939,3.0,-1.0278,2.6178,Riverside, CA,2902.0,0.011502266,0.117443204,7.32,33.745603,-116.1713917
92701,"santa ana, ca",334950.0,0.0633,-0.315,16.0,-0.2,,51.0,0.64516129,-0.17073170699999998,8.0,-0.6,1.0,0.0,,,0.0,-1.0,,36.0,0.2414,1.1176,403.3451691,-0.0212,0.0717,937.5,0.0563,-0.25,462636.4758,0.0749,-0.0044,52.0,0.0612,0.3684,2.25,0.8,1.4405,Los Angeles-Long Beach-Anaheim, CA,2013.0,0.00249004,#DIV/0!,7.21,33.7463915,-117.8604472
93312,"bakersfield, ca",362500.0,-0.0937,,42.0,0.2727,,6.0,-0.454545455,,92.0,0.6429,0.5333,8.0,,,4.0,-0.75,-0.8571,26.0,0.0833,1.6,189.8988831,-0.0406,0.12300000000000001,1856.0,0.0117,-0.0873,397773.4873,-0.1204,0.0803,68.0,0.193,-0.3982,0.6190476189999999,-0.1082,0.522,Bakersfield, CA,1943.0,0.007780083,0.084868788,6.43,35.3734151,-119.1274334
93536,"lancaster, ca",472495.0,-0.0094,,111.0,0.11,-0.5022,28.0,0.806451613,-0.31707317100000004,140.0,-0.0789,0.0606,4.0,,-0.5,20.0,0.6667,-0.4444,270.0,-0.0253,0.3636,224.6595355,0.0439,0.2382,2189.0,-0.07400000000000001,-0.0389,520091.9538,-0.0235,0.184,381.0,0.0106,-0.095,2.4324324319999997,-0.3376,1.5445,Los Angeles-Long Beach-Anaheim, CA,2533.0,0.011985617,0.15503876,6.43,34.7190908,-118.2526623
92253,"la quinta, ca",739500.0,-0.109,,144.0,0.1163,,26.5,0.081632653,,176.0,0.2222,0.4194,8.0,1.0,1.0,24.0,0.2,-0.6667,298.0,-0.1024,1.0839,326.699922,0.0053,0.2273,2488.5,-0.1205,-0.0467,1371870.4980000001,-0.1995,0.3811,442.0,-0.0412,-0.3547,2.069444444,-0.5042,1.8056,Riverside, CA,3943.0,#DIV/0!,0.171072171,6.40,33.6562975,-116.2895173
92057,"oceanside, ca",494994.5,0.0421,-0.01,46.0,0.0222,,36.0,-0.23404255300000001,0.014084507,64.0,0.3333,0.0667,0.0,,,4.0,0.0,-0.8,139.0,-0.0211,0.8052,340.0788563,-0.001,0.0768,1299.5,0.02,-0.1325,587168.3971,0.0161,0.0941,185.0,-0.0107,-0.075,3.02173913,-0.1338,2.3957,San Diego, CA,2581.0,0.004671078,0.050040683,6.26,33.260081,-117.2793685
92571,"perris, ca",412450.0,0.0311,0.1457,16.0,0.1429,-0.7288,14.5,0.318181818,-0.697916667,28.0,0.1667,0.1667,0.0,,,4.0,,-0.5,68.0,0.0149,0.0968,199.38995780000002,-0.0858,0.1275,2131.0,0.1347,-0.0005,401398.2086,0.0075,0.1063,84.0,0.037000000000000005,-0.3058,4.25,-0.5357,3.1992,Riverside, CA,2108.0,0.009578544,0.108890058,6.13,33.81567709999999,-117.2088167
93534,"lancaster, ca",354500.0,0.1256,,43.0,-0.0851,,27.0,-0.068965517,,56.0,-0.0667,0.2727,0.0,,,8.0,,-0.5,149.0,0.0956,0.5204,237.2781409,-0.0646,0.1827,1417.5,0.1455,0.0046,386303.804,0.1077,0.2929,192.0,0.0492,0.0971,3.4651162789999996,0.5715,2.1924,Los Angeles-Long Beach-Anaheim, CA,1810.0,0.009481316,0.107033639,6.13,34.6946278,-118.1473771
